2000-03-11 12:00:001       -1.728           32            5    0.0230946
2000-03-12 12:00:001       -1.728           32            5    0.0225013
2000-03-13 12:00:001       -1.728           32            5    0.0219213
2000-03-14 12:00:001       -1.728           32            5    0.0213544
2000-03-15 12:00:001       -1.728           32            5    0.0208002
2000-03-16 12:00:001       -1.728           32            5    0.0202586
2000-03-17 12:00:001       -1.728           32            5    0.0197295
2000-03-18 12:00:001       -1.728           32            5    0.0192124
2000-03-19 12:00:001       -1.728           32            5    0.0187074
2000-03-20 12:00:001       -1.728           32            5    0.0182141
2000-03-21 12:00:001       -1.728           32            5    0.0177323
2000-03-22 12:00:001       -1.728           32            5    0.0172619
2000-03-23 12:00:001       -1.728           32            5    0.0168026
2000-03-24 12:00:001       -1.728           32            5    0.0163543
2000-03-25 12:00:001       -1.728           32            5    0.0159167
2000-03-26 12:00:001       -1.728           32            5    0.0154896
2000-03-27 12:00:001       -1.728           32            5    0.0150729
2000-03-28 12:00:001       -1.728           32            5    0.0146663
2000-03-29 12:00:001       -1.728           32            5    0.0142697
2000-03-30 12:00:001       -1.728           32            5     0.337805
2000-03-31 12:00:001       -1.728           32            5     0.369651
2000-04-01 12:00:001       -1.728           32            5     0.404701
2000-04-02 12:00:001       -1.728           32            5     0.443296
2000-04-03 12:00:001       -1.728           32            5     0.485816
2000-04-04 12:00:001       -1.728           32            5     0.532683
2000-04-05 12:00:001       -1.728           32            5     0.584366
2000-04-06 12:00:001       -1.728           32            5     0.641388
2000-04-07 12:00:001       -1.728           32            5     0.704332
2000-04-08 12:00:001       -1.728           32            5     0.773846
2000-04-09 12:00:001       -1.728           32            5     0.850656
2000-04-10 12:00:001       -1.728           32            5     0.935569
2000-04-11 12:00:001       -1.728           32            5      1.02948
2000-04-12 12:00:001       -1.728           32            5      1.13341
2000-04-13 12:00:001       -1.728           32            5      1.24847
2000-04-14 12:00:001       -1.728           32            5      1.37593
2000-04-15 12:00:001       -1.728           32            5      1.51718
2000-04-16 12:00:001       -1.728           32            5       1.6738
2000-04-17 12:00:001       -1.728           32            5      1.84755
2000-04-18 12:00:001       -1.728           32            5       2.0404
2000-04-19 12:00:001       -1.728           32            5      2.25457
2000-04-20 12:00:001       -1.728           32            5      2.49251
2000-04-21 12:00:001       -1.728           32            5      2.75702
2000-04-22 12:00:001       -1.728           32            5      3.05121
2000-04-23 12:00:001       -1.728           32            5      3.37856
2000-04-24 12:00:001       -1.728           32            5      3.74302
2000-04-25 12:00:001       -1.728           32            5      4.14899
2000-04-26 12:00:001       -1.728           32            5      4.60143
2000-04-27 12:00:001       -1.728           32            5      5.10593
2000-04-28 12:00:001       -1.728           32            5      5.66876
2000-04-29 12:00:001       -1.728           32            5        6.297
2000-04-30 12:00:001       -1.728           32            5      6.99859
2000-05-01 12:00:001       -1.728           32            5      7.78253
2000-05-02 12:00:001       -1.728           32            5      8.65893
2000-05-03 12:00:001       -1.728           32            5      9.63921
2000-05-04 12:00:001       -1.728           32            5      10.7362
2000-05-05 12:00:001       -1.728           32            5      11.9646
2000-05-06 12:00:001       -1.728           32            5      13.3407
2000-05-07 12:00:001       -1.728           32            5      14.8831
2000-05-08 12:00:001       -1.728           32            5      8.67265
2000-05-09 12:00:001       -1.728           32            5      11.5534
2000-05-10 12:00:001       -1.728           32            5      11.9773
2000-05-11 12:00:001       -1.728           32            5      12.4236
2000-05-12 12:00:001       -1.728           32            5      12.8935
2000-05-13 12:00:001       -1.728           32            5      13.3885
2000-05-14 12:00:001       -1.728           32            5      15.2285
2000-05-15 12:00:001       -1.728           32            5      20.4858
2000-05-16 12:00:001       -1.728           32            5      27.7264
2000-05-17 12:00:001       -1.728           32            5      37.7556
2000-05-18 12:00:001       -1.728           32            5      51.7268
