Serial_date,CO2 [ppmv]
1982-12-01-14:00,343.0784466
1982-12-09-04:30,343.3413703
1982-12-16-19:00,343.5668129
1982-12-24-09:30,343.7992498
1983-01-01-00:00,344.0616506
1983-01-08-14:30,344.3647757
1983-01-16-05:00,344.6879354
1983-01-23-19:30,344.9896343
1983-01-31-10:00,345.2276082
1983-02-08-00:30,345.3690218
1983-02-15-15:00,345.4025116
1983-02-23-05:30,345.3487185
1983-03-02-20:00,345.2513272
1983-03-10-10:30,345.1691086
1983-03-18-01:00,345.1536999
1983-03-25-15:30,345.2368345
1983-04-02-06:00,345.4175482
1983-04-09-20:30,345.6647364
1983-04-17-11:00,345.9263285
1983-04-25-01:30,346.1411209
1983-05-02-16:00,346.2616436
1983-05-10-06:30,346.2616327
1983-05-17-21:00,346.1398974
1983-05-25-11:30,345.9154262
1983-06-02-02:00,345.6135454
1983-06-09-16:30,345.2594381
1983-06-17-07:00,344.8608214
1983-06-24-21:30,344.4087573
1983-07-02-12:00,343.8909567
1983-07-10-02:30,343.2885776
1983-07-17-17:00,342.5930321
1983-07-25-07:30,341.8249326
1983-08-01-22:00,341.0166496
1983-08-09-12:30,340.217525
1983-08-17-03:00,339.4975388
1983-08-24-17:30,338.9140203
1983-09-01-08:00,338.5163029
1983-09-08-22:30,338.3422106
1983-09-16-13:00,338.4019676
1983-09-24-03:30,338.6882289
1983-10-01-18:00,339.1667818
1983-10-09-08:30,339.7882276
1983-10-16-23:00,340.4928673
1983-10-24-13:30,341.206443
1983-11-01-04:00,341.8726315
1983-11-08-18:30,342.4530113
1983-11-16-09:00,342.9284925
1983-11-23-23:30,343.3172584
1983-12-01-14:00,343.6582877
1983-12-09-04:30,343.9947197
1983-12-16-19:00,344.3683471
1983-12-24-09:30,344.8018857
1984-01-01-00:00,345.2847117
1984-01-08-15:00,345.7958277
1984-01-16-06:00,346.294305
1984-01-23-21:00,346.7353084
1984-01-31-12:00,347.0913005
1984-02-08-03:00,347.3481997
1984-02-15-18:00,347.5024533
1984-02-23-09:00,347.5655291
1984-03-02-00:00,347.5540735
1984-03-09-15:00,347.4906795
1984-03-17-06:00,347.3489632
1984-03-24-21:00,347.2700856
1984-04-01-12:00,347.2429422
1984-04-09-03:00,347.3000894
1984-04-16-18:00,347.456732
1984-04-24-09:00,347.6950989
1984-05-02-00:00,347.9641521
1984-05-09-15:00,348.1832872
1984-05-17-06:00,348.2570034
1984-05-24-21:00,348.1059711
1984-06-01-12:00,347.6830804
1984-06-09-03:00,346.9980956
1984-06-16-18:00,346.1054701
1984-06-24-09:00,345.0908304
1984-07-02-00:00,344.0656632
1984-07-09-15:00,343.112418
1984-07-17-06:00,342.2825356
1984-07-24-21:00,341.6027897
1984-08-01-12:00,341.0585516
1984-08-09-03:00,340.6243281
1984-08-16-18:00,340.2836393
1984-08-24-09:00,340.027913
1984-09-01-00:00,339.8668071
1984-09-08-15:00,339.823158
1984-09-16-06:00,339.9182463
1984-09-23-21:00,340.1673616
1984-10-01-12:00,340.5675096
1984-10-09-03:00,341.1036358
1984-10-16-18:00,341.7516711
1984-10-24-09:00,342.4700314
1984-11-01-00:00,343.2238368
1984-11-08-15:00,343.9784288
1984-11-16-06:00,344.6890583
1984-11-23-21:00,345.3240849
1984-12-01-12:00,345.8556319
1984-12-09-03:00,346.2579096
1984-12-16-18:00,346.5276342
1984-12-24-09:00,346.6775184
1985-01-01-00:00,346.7499609
1985-01-08-14:30,346.7660778
1985-01-16-05:00,346.7949483
1985-01-23-19:30,346.8890065
1985-01-31-10:00,347.0876188
1985-02-08-00:30,347.411471
1985-02-15-15:00,347.8506844
1985-02-23-05:30,348.3766107
1985-03-02-20:00,348.9441137
1985-03-10-10:30,349.490821
1985-03-18-01:00,349.9641804
1985-03-25-15:30,350.3196619
1985-04-02-06:00,350.5249273
1985-04-09-20:30,350.5705731
1985-04-17-11:00,350.4625474
1985-04-25-01:30,350.222949
1985-05-02-16:00,349.8814189
1985-05-10-06:30,349.6662608
1985-05-17-21:00,349.2973558
1985-05-25-11:30,348.5735144
1985-06-02-02:00,348.0934767
1985-06-09-16:30,347.5941561
